"id","category","text","options__001","options__002","options__003","options__004","answer","difficulty"
"1","Math","What is 12 + 15?","25","26","27","28","27","Easy"
"2","Math","Solve: 8 × 7 ÷ 4 = ?","10","12","14","16","14","Medium"
"3","Math","What is the derivative of x²?","x","2x","x²","2","2x","Hard"
"4","Logic","If all roses are flowers and some flowers fade quickly, can we say some roses fade quickly?","Yes","No","Cannot be determined","All fade quickly","Cannot be determined","Medium"
"5","Logic","Find the next number in the series: 2, 6, 12, 20, ?","28","30","32","36","30","Medium"
"6","Logic","Which figure does not belong: Triangle, Circle, Rectangle, Cube?","Triangle","Circle","Rectangle","Cube","Cube","Easy"
"7","Verbal","Choose the synonym of 'Eloquent'.","Silent","Fluent","Rude","Unclear","Fluent","Easy"
"8","Verbal","Select the antonym of 'Harmony'.","Conflict","Peace","Unity","Agreement","Conflict","Medium"
"9","Verbal","Fill in the blank: The movie was so _____ that everyone left early.","Exciting","Boring","Interesting","Inspiring","Boring","Easy"
"10","Analytical","Which number does not belong in the group: 3, 5, 7, 9, 11?","3","5","7","9","9","Medium"
"11","Analytical","A train travels 60 km in 1.5 hours. What is its average speed?","30 km/h","40 km/h","50 km/h","60 km/h","40 km/h","Easy"
"12","Analytical","Which shape should come next in this pattern sequence: ▲ ■ ▲ ■ ?","▲","■","◆","⬟","▲","Easy"
"13","General Knowledge","Who wrote the national anthem of India?","Rabindranath Tagore","Bankim Chandra Chatterjee","Mahatma Gandhi","Sarojini Naidu","Rabindranath Tagore","Easy"
"14","General Knowledge","Which planet is known as the 'Red Planet'?","Earth","Venus","Mars","Jupiter","Mars","Easy"
"15","General Knowledge","What is the capital city of Australia?","Sydney","Melbourne","Canberra","Brisbane","Canberra","Medium"
"16","Math","If sin(θ) = 1/2, then θ = ?","30°","45°","60°","90°","30°","Hard"
"17","Logic","If A = 1, B = 2, C = 3, what does Z equal?","24","25","26","27","26","Easy"
"18","Verbal","Identify the correctly spelled word.","Recieve","Receive","Recieeve","Receeve","Receive","Easy"
"19","Analytical","If 5 pencils cost ₹25, what is the cost of 8 pencils?","₹30","₹35","₹40","₹45","₹40","Easy"
"20","General Knowledge","In which year did India gain independence?","1945","1946","1947","1950","1947","Easy"
